date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:57	2065/2065	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2002%20Feb%202021%2020:40:56%20GMT	https://create-react-app.dev/robots.txt		(from )
15:40:58	10553/10553	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Nov%202020%2005:36:04%20GMT	https://create-react-app.dev/	create-react-app.dev/index.html	(from )
15:40:59	745/745	---MCZ	200	added ('OK')	application/xml	etag:W/%225fbb4a44-2e9%22	https://create-react-app.dev/opensearch.xml	create-react-app.dev/opensearch.xml	(from https://create-react-app.dev/)
15:41:00	9413/9413	---M--	200	added ('OK')	image/png	etag:%225fbb4a44-24c5%22	https://create-react-app.dev/img/logo-og.png	create-react-app.dev/img/logo-og.png	(from https://create-react-app.dev/)
15:41:01	22382/22382	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225fbb4a44-576e%22	https://create-react-app.dev/img/favicon/favicon.ico	create-react-app.dev/img/favicon/favicon.ico	(from https://create-react-app.dev/)
15:41:03	88141/88141	---MCZ	200	added ('OK')	text/css	etag:W/%225fbb4a44-1584d%22	https://create-react-app.dev/styles.1f044c0e.css	create-react-app.dev/styles.1f044c0e.css	(from https://create-react-app.dev/)
15:41:03	2856/2856	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbb4a44-b28%22	https://create-react-app.dev/styles.8fd8c587.js	create-react-app.dev/styles.8fd8c587.js	(from https://create-react-app.dev/)
15:41:05	4402/4402	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbb4a44-1132%22	https://create-react-app.dev/runtime~main.0335f078.js	create-react-app.dev/runtime_main.0335f078.js	(from https://create-react-app.dev/)
15:41:06	22257/22257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbb4a44-56f1%22	https://create-react-app.dev/1.e5ec0f65.js	create-react-app.dev/1.e5ec0f65.js	(from https://create-react-app.dev/)
15:41:08	32040/32040	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbb4a44-7d28%22	https://create-react-app.dev/2.afcb63ef.js	create-react-app.dev/2.afcb63ef.js	(from https://create-react-app.dev/)
15:41:08	13092/13092	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbb4a44-3324%22	https://create-react-app.dev/c4f5d8e4.bc16ad86.js	create-react-app.dev/c4f5d8e4.bc16ad86.js	(from https://create-react-app.dev/)
15:41:10	278160/278160	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fbb4a44-43e90%22	https://create-react-app.dev/main.3d967720.js	create-react-app.dev/main.3d967720.js	(from https://create-react-app.dev/)
